ID,Item Name,Category,Primary Ingredients,Origin/Context,Description
283,Sabudaanaa Kheer,Sweet,Tapioca,Nepal,"Tapioca pearl pudding, popular during religious fasts."
284,Sebai ko Kheer,Sweet,Vermicelli,Nepal,Sweet milk pudding with thin vermicelli noodles.
285,Machha Tarkari,Curry,River Fish,Majhi/Bhote,Freshwater fish curry cooked with mustard oil and turmeric.
286,Thenthuk,Soup,Pulled Noodles,Hyolmo,A slow-cooked bone broth with hand-pulled wheat noodles.
287,Tsampa Porridge,Staple,Barley,Himalayan,A warm breakfast porridge made from tsampa flour and milk.
288,Sherpa Bread,Bread,Wheat,Sherpa,Deep-fried or pan-cooked bread common on the EBC route.
289,Potato Roti,Bread,Potato,Sherpa,Flatbread made from mashed potatoes and wheat flour.
290,Salt Butter,Condiment,Yak Butter,Sherpa,"Fresh yak butter mixed with salt, used to garnish dhido and rice."
291,Hard Chhurpi,Snack,Cheese,Sherpa,"Smoked and dried cheese, used for tooth health and energy."
292,Soft Chhurpi,Vegetable,Cheese,Sherpa,Freshly made cheese used as a meat substitute in curries.
293,Syakpa Soup,Soup,Stew,Sherpa,The rich broth of the hand-pulled noodle and meat stew.
294,Jho (Jhopa),Staple,Hybrid Milk,Sherpa,Milk and curds from the yak-cow hybrid.
295,Tibetan Bread,Bread,Wheat,Himalayan,"Deep-fried, puffy bread often eaten with honey or jam."
296,Apple Crumble,Sweet,Apple,Jomsom,A baked dessert using local Mustang apples.
297,Yak Cheese,Snack,Cheese,Annapurna/Manaslu,"Aged, dense cheese made from yak milk, highly nutritious."
298,Chapati,Bread,Wheat,Himalayan,The flatbread served with lentils in teahouses across the trail.
299,Finger Millet Roti,Bread,Millet,Mustang,Traditional millet flatbread of the Mustang plateau.
300,Po Cha,Beverage,Tea,Himalayan,The iconic butter tea of the high mountains.
301,Ghonghi,Aquatic,Mud Snails,Tharu,"Snails boiled with linseed soup and local spices, eaten by sucking."
302,Dhikri,Staple,Rice Flour,Tharu,"Steamed rice flour rolls or dumplings, a staple of the Maghi festival."
303,Bagiya,Snack,Rice Flour,Tharu,"Steamed rice flour dumplings, often filled with sweet or savory mixtures."
304,Bhakkha,Bread,Rice Flour,Tharu/Rajbanshi,"A fluffy, steamed rice cake served with tomato chutney."
305,Sidhara,Condiment,Fish & Taro,Tharu,"Dried cakes made of small fish and taro root, used in curries."
306,Khariya,Snack,Colocasia leaves,Tharu,Steamed and fried rolls made of colocasia leaves and spice batter.
307,Pitosni,Snack,Colocasia leaves,Tharu,Another term for the Tharu colocasia leaf specialty.
308,Kachari Bariya,Vegetable,Yam,Tharu,A flavorful dish made from kachar (yam) and seasonal vegetables.
309,Pakuwa,Meat,Pork/Boar,Tharu,"Barbecued or roasted meat, typically pork or wild boar."
310,Anandi Rice,Staple,Sticky Rice,Tharu,"Steam-cooked glutinous rice, known for its unique texture."
311,Chichar,Staple,Sticky Rice,Tharu,Sticky rice steamed in a traditional manner.
312,Parewak Sikar,Meat,Pigeon,Tharu,Traditional Tharu preparation of roasted or curried pigeon meat.
313,Machha Curry,Curry,River Fish,Terai,"Freshwater fish cooked with turmeric, garlic, and mustard oil."
314,Litti,Snack,Wheat & Sattu,Terai,Roasted wheat balls stuffed with spiced gram flour and ghee.
315,Pitha,Sweet/Snack,Rice flour,Terai,"A wide category of rice-based sweets, steamed or fried."
316,Thekuwa,Sweet,Wheat & Jaggery,Mithila/Bhojpuri,A deep-fried sweet made for the Chhath festival.
317,Katiya,Curry,Mutton,Terai,Mutton slow-cooked in a sealed clay pot (katiya) over coal.
318,Pitthi,Snack,Wheat dough,Madhesi,Small dough dumplings cooked in a seasoned broth.
319,Dal Pitthi,Snack,Wheat & Lentils,Madhesi,Wheat dough pieces cooked inside a spiced lentil soup.
320,Chhachharuwa,Snack,Traditional,Madhesi,A traditional snack item of the southern plains.
321,Dal Puri,Bread,Flour & Lentils,Madhesi,Deep-fried bread filled with a spiced chickpea or lentil paste.
322,Khajuriya,Sweet,Wheat flour,Terai,Cookie-like festive sweet fried in oil.
323,Maluwa,Sweet,Flour & Milk,Terai,"A soft, pancake-like sweet soaked in sugar syrup."
324,Padukiya,Sweet,Wheat flour,Terai,"A fried, semi-circular sweet with a coconut or khuwa filling."
325,Puwa,Sweet,Rice flour,Terai,A sweet dish made from sautéed rice flour and nuts.
326,Dudh Puwa,Sweet,Milk & Rice,Terai,Puwa cooked in thick milk to create a rich dessert.
327,Sohjan Chokha,Vegetable,Drumstick,Terai,A mash or salad made from boiled drumstick (moringa) pods.
328,Maslaar,Curry,Spiced,Terai,A term for a highly spiced curry in the Madheshi tradition.
329,Jhinga Fry,Aquatic,Prawns/Shrimp,Terai,River prawns deep-fried with local spices.
330,Siddhri,Aquatic,Small Fish,Terai,"Dried small fish, often used in chutneys or curries."
331,Rice Roti,Bread,Rice flour,Terai,Traditional flatbread made exclusively from rice flour.
332,Chiura Dahi,Staple,Rice & Curd,Terai,A staple combination of beaten rice and fresh yogurt.
333,Bari,Snack,Lentil Nuggets,Terai,Sun-dried nuggets of seasoned lentil paste.
334,Kari,Curry,Yogurt,Terai,"A thick, tangy curry made with yogurt and gram flour."
335,Taruwa,Snack,Veg Fritters,Terai,Sliced vegetables dipped in gram flour batter and deep-fried.
336,Launglatti,Sweet,Wheat flour,Terai,"A fried, syrup-soaked sweet pinned with a clove (laung)."
337,Gajjaa,Sweet,Wheat flour,Terai,"A hard, layered sweet common in the Madhesi region."
338,Khuwa,Sweet,Milk solids,Nepal,"Milk reduced to a thick solid, used in many sweets."
339,Khaja Mithai,Sweet,Flour,Terai,General term for various snack-like sweets sold in the plains.
340,Methauri,Snack,Fenugreek,Terai,Sun-dried nuggets made with fenugreek seeds and lentils.
341,Tilauri,Snack,Sesame,Terai,"Small, crunchy fried snacks made from sesame seeds and batter."
342,Danauri,Snack,Grains,Terai,A traditional snack made from various grains.
343,Bathuwa Saag,Vegetable,Wild Spinach,Terai,A famous wild green consumed specifically during the winter.
344,Ol ke Tarkari,Curry,Elephant Foot Yam,Terai,A curry made from the large elephent foot yam tuber.
345,Pumpkin Leaf Taruwa,Snack,Pumpkin leaves,Terai,Pumpkin leaves dipped in batter and fried until crispy.
346,Satuwa,Staple,Grain flour,Terai,"Roasted grain flour, a high-protein staple for farmers."
347,Makai Bhuja,Snack,Popcorn,Terai,"Toasted corn kernels, a common daily snack."
348,Khurma,Sweet,Wheat flour,Terai,Fried wheat flour sticks coated in sugar syrup.
349,Fofi,Snack,Flour,Terai,"A hollow, tube-shaped fried snack."
350,Bangla Daal,Soup,Chickpeas,Terai,A yellow lentil soup made from split chickpeas.
351,Khesari Saag,Vegetable,Khesari,Terai,A leafy green vegetable common in the plains.
352,Teesi,Snack,Flaxseed,Terai,Flaxseeds used in various traditional snacks and condiments.
353,Gahu Oraha,Snack,Wheat,Terai,Roasted wheat grains.
354,Dhan Lawa,Snack,Paddy,Terai,"Puffed paddy or rice, often used in religious rituals."
355,Aluwa,Staple,Potato,Terai,A regional potato dish.
356,Shidol,Condiment,Fermented Fish,Rajbanshi,A pungent condiment made of fermented fish and arum leaves.
357,Pelka,Soup,Green leafy,Rajbanshi,A traditional soup made of mixed greens and alkali (chhaka).
358,Shuktani,Curry,Traditional,Rajbanshi,A bitter-tasting traditional vegetable preparation.
359,Chheka,Soup,Alkali,Rajbanshi,A unique soup prepared with alkaline water and local herbs.
360,Bhelka,Soup,Vegetable,Rajbanshi,A light vegetable broth of the Rajbanshi community.
361,Panta Bhat,Staple,Fermented Rice,Rajbanshi,"Leftover rice soaked overnight, eaten with salt and onion."
362,Sukati,Vegetable,Dried Jute,Rajbanshi,Dried jute leaves used in traditional curries.
363,Kalai Roti,Bread,Black Gram,Rajbanshi,A flatbread made from urad dal flour.
364,Borolir Jhaal,Curry,Fish,Rajbanshi,Spicy fish curry using the prized Boroli fish.
365,Nelekata Pitha,Sweet,Rice & Coconut,Rajbanshi,Half-moon shaped pitha filled with coconut and sugar.
366,Fokdoi,Staple,Rice,Rajbanshi,A traditional rice-based meal.
367,Pata Khaoa,Snack,Arum leaves,Rajbanshi,Arum leaves grilled or burnt with spices inside banana leaves.
368,Seli,Staple,Rice,Dhimal,A traditional rice preparation of the Dhimal community.
369,Lawa,Snack,Puffed paddy,Dhimal,Puffed paddy used as a snack.
370,Sidla,Condiment,Fish,Dhimal,A traditional fermented fish dish of the Dhimal people.
371,Gora,Beverage,Rice Beer,Dhimal,Traditional homemade rice liquor.
372,Taas,Meat,Buffalo/Lamb,Chitwan,"Spiced, slow-cooked meat served with puffed rice and pickles."
373,Katiya,Curry,Mutton,Terai,Mutton slow-cooked in individual clay pots.
374,Sahjan Chokha,Vegetable,Moringa,Terai,Mashed drumstick pods with spices and mustard oil.
375,Akabare Vinegar,Pickle,Round Chili,Eastern Nepal,Dalle chilies preserved in vinegar and spices.
376,Kinema,Fermented,Soybeans,Rai/Limbu,"Soybeans fermented until pungent, then dried and stored for curries."
377,Kinema ko Jhol,Soup,Fermented Soy,Rai/Limbu,"A nutritious, high-protein soup made from reconstituted kinema."
378,Yangben-Faaksa,Curry,Pork & Lichen,Rai/Limbu,Pork curry cooked with wild edible lichen (yangben) and blood.
379,Wachipa,Staple,Chicken & Ash,Rai/Limbu,Rice mixed with chicken and ashes of burnt feathers; bitter and aromatic.
380,Sargemba,Meat,Blood Sausage,Rai/Limbu,"Pig blood, rice, and lichen encased in intestines and boiled."
381,Chhop Achar,Pickle,Niger Seeds,Rai/Limbu,"A dry, shelf-stable pickle made from ground niger seeds and salt."
382,Chamre,Staple,Rice,Rai/Limbu,"Rice fried with ghee and turmeric to produce a yellow, aromatic dish."
383,Masikra,Meat,Smoked Meat,Limbu,"Smoked or dried meat, often pork, used in seasonal stews."
384,Tongba,Beverage,Millet,Limbu,"Fermented millet brew, sipped through a bamboo straw."
385,Raksi,Beverage,Grain,Nepal,"Distilled grain liquor, the ""hard"" counterpart to fermented brews."
386,Masikdaam,Staple,Grains,Rai/Limbu,A traditional cereal-based dish of eastern Nepal.
387,Sibring,Vegetable,Wild Herb,Rai/Limbu,An indigenous wild plant used as a vegetable or condiment.
388,Bawari,Bread,Rice flour,Rai/Limbu,A traditional rice flour pancake.
389,Dhule Achar,Pickle,Sesame & Ginger,Rai/Limbu,"A ground pickle of sesame seeds, ginger, salt, and chili."
390,Saruwa,Beverage,Traditional,Rai/Limbu,A specific traditional drink of the Lohorung community.
391,Yangben,Condiment,Lichen,Rai/Limbu,Wild lichen processed with ashes and washed thoroughly for use.
392,Sungur ko Masu,Meat,Pork,Rai/Limbu,"Local domestic pork, the preferred meat of eastern hills."
393,Philinge Achar,Pickle,Niger Seed,Rai/Limbu,"A spicy, nutty pickle made from niger seeds (philinge)."
394,Kodo ko Raksi,Beverage,Millet,Nepal,Strong spirit distilled from fermented finger millet.
395,Sel Roti,Sweet,Rice flour,Nepal,Ring-shaped festive bread made of fermented rice batter.
396,Gundruk ko Achar,Pickle,Fermented greens,Nepal,Spiced salad made from fermented leafy greens.
397,Dhido,Staple,Millet/Buckwheat,Rai/Limbu,Dense flour porridge served with meat curry.
398,Machha ko Sukuti,Snack,Dried Fish,Rai/Limbu,"Small fish dried until crunchy, then fried with spices."
399,Ghee,Staple,Buffalo Butter,Nepal,Clarified butter used as a caloric boost in every meal.
400,Chhurpi,Snack,Yak/Cow Milk,Eastern Nepal,Dried cheese bits used as a snack or in soup.
401,Phopke,Sweet,Fermented Rice,Thakali/Eastern,A unique sweet fermented rice specialty.
402,Chirik Michcha,Pickle,Fermented Chili,Yakkha,"Bold, pungent fermented green chili dish of eastern Nepal."
403,Ban Tarul,Vegetable,Wild Yam,Chepang/Rural,Foraged yam roasted or boiled as a forest survival food.
404,Machha Tarkari,Curry,River Fish,Majhi/Bhote,Spiced fish curry from river-based communities.
405,Thenthuk,Soup,Wheat Noodles,Hyolmo,Square hand-pulled noodles in a slow-cooked bone broth.
406,Paach Pokhari Jhol,Soup,Meat Broth,Gurung,A warming meat broth made with wild herbs and garlic.
407,Tsampa,Staple,Barley,Sherpa,Roasted barley flour mixed with butter tea.
408,Aila,Beverage,Rice/Millet,Newari,Potent distilled spirit with over 60% alcohol content.
409,Chhyang,Beverage,Rice/Barley,Tibetan,"Milky white fermented beer, sweet and sour."
410,Juju Dhau,Sweet,Buffalo Milk,Bhaktapur,"""King of Yogurt,"" thick and creamy fermented milk."
411,Yomari,Sweet,Rice flour,Newari,Steamed harvest dumplings filled with chaku or khuwa.
412,Lakhamari,Sweet,Wheat flour,Newari,"Hard, crunchy bread-like treat for special occasions."
413,Chaku,Sweet,Molasses,Newari,"Sticky, energy-dense molasses rich in iron."
414,Jeri,Sweet,Wheat flour,Nepal,Deep-fried spirals soaked in sugar syrup.
415,Gud Pak,Sweet,Milk & Jaggery,Kathmandu,Nutritious sweet gifted to new mothers for strength.
416,Kheer,Sweet,Rice & Milk,Nepal,Traditional creamy rice pudding.
417,Suji Ko Halwa,Sweet,Semolina,Nepal,Buttery semolina pudding flavored with cardamom.
418,Rakshi,Beverage,Grain,Nepal,"Traditional distilled wine, clear and strong."
419,Taadi,Beverage,Palm Sap,Terai,Alcoholic palm wine made from the sap of palm trees.
420,Tin Pani,Beverage,Grain,Rural Nepal,"""Three water"" - highly distilled, clear raksi."
421,Jaad,Beverage,Grain,Nepal,Generic term for fermented grain beer.
422,Nigar,Beverage,Grain,Eastern Nepal,The clear liquid extract from fermented beer.
423,Thwon,Beverage,Rice,Newari,Newari name for fermented rice beer.
424,Mada,Beverage,Grain,Rukum,Distilled spirit found in the hilly regions of Rukum.
425,Saejongwa,Beverage,Grain,Limbu,Limbu name for distilled alcohol (raksi).
426,Sel Roti,Sweet/Snack,Rice flour,Nepal,"Ring-shaped rice donut, crispy outside and soft inside."
427,Yomari,Sweet,Rice flour,Newari,Fish or teardrop shaped dumpling filled with sesame and molasses.
428,Lakhamari,Sweet,Wheat flour,Newari,"A hard, crunchy decorative sweet for weddings."
429,Kheer,Sweet,Rice & Milk,Nepal,"Traditional rice pudding, often garnished with nuts and saffron."
430,Rasbari,Sweet,Milk solids,Nepal,Spongy milk balls dipped in a light sugar syrup.
431,Lal Mohan,Sweet,Milk solids,Nepal,Deep-fried dough balls in a cardamom-infused syrup.
432,Gulab Jamun,Sweet,Milk solids,Nepal,The regional name for the deep-fried syrup-soaked milk balls.
433,Jeri,Sweet,Wheat flour,Nepal,Pretzels made of fried batter and soaked in syrup.
434,Jalebi,Sweet,Wheat flour,Nepal,"Another name for Jeri, often paired with swari flatbread."
435,Rasgulla,Sweet,Cottage Cheese,Nepal,Spongy balls of chhena (cheese) in sugar syrup.
436,Rasmalai,Sweet,Cheese & Milk,Nepal,"Soft cheese patties soaked in thickened, sweetened milk."
437,Barfi,Sweet,Condensed Milk,Nepal,"Dense, fudge-like sweet available in many flavors (Khuwa, Kaaju)."
438,Peda,Sweet,Reduced Milk,Nepal,"Flat, circular sweets made from thickened milk and nuts."
439,Laddu,Sweet,Flour & Sugar,Nepal,Spherical sweets made from gram flour (Besan) or semolina.
440,Motichur Laddu,Sweet,Chickpea flour,Nepal,Granular sweets made from tiny fried droplets of batter.
441,Til ko Laddu,Sweet,Sesame seeds,Nepal,Crunchy sesame balls bound with jaggery syrup.
442,Gud Pak,Sweet,Jaggery & Nuts,Kathmandu,"A nutritious, thick sweet made from edible gum and nuts."
443,Pustakari,Sweet,Milk & Sugar,Newari,"Chewy, nutty candy made from reduced milk and jaggery."
444,Chaku,Sweet,Sugarcane juice,Newari,"Dark, concentrated molasses blocks used as a winter tonic."
445,Anarsa,Sweet,Rice flour,Nepal,A crispy rice flour patty topped with poppy seeds.
446,Khajuri,Sweet,Wheat & Ghee,Nepal,Traditional deep-fried cookies with a firm texture.
447,Haluwa,Sweet,Semolina,Nepal,"A warm, buttery pudding made from semolina or wheat flour."
448,Gajar ko Halwa,Sweet,Carrots,Nepal,Grated carrots cooked in milk and ghee until thick and sweet.
449,Suji ko Halwa,Sweet,Semolina,Nepal,The most common homemade dessert in Nepali households.
450,Kalakand,Sweet,Milk & Paneer,Nepal,"A grainy, milk-based sweet flavored with cardamom."
451,Kulfi,Sweet,Thickened Milk,Nepal,"Traditional frozen milk popsicle, often with pistachios."
452,Bambaisan,Sweet,Milk,Ilam,A regional specialty from Ilam made from condensed milk.
453,Khuwa ko Barfi,Sweet,Reduced milk,Nepal,"Pure milk fudge, a favorite for its creamy richness."
454,Kaaju Barfi,Sweet,Cashews,Nepal,Diamond-shaped fudge made from ground cashews.
455,Badaam Barfi,Sweet,Almonds,Nepal,Milk fudge enriched with almonds.
456,Pista Barfi,Sweet,Pistachios,Nepal,Vibrant green fudge flavored with pistachios.
457,Nariwal Barfi,Sweet,Coconut,Nepal,Sweet squares made from grated coconut and milk.
458,Besan ko Barfi,Sweet,Gram flour,Nepal,Fudge made from roasted chickpea flour and ghee.
459,Chocolate Barfi,Sweet,Milk & Cocoa,Nepal,A modern fusion of traditional milk fudge and chocolate.
460,Kesari ko Barfi,Sweet,Saffron,Nepal,Saffron-infused milk fudge.
461,Mana Bhog,Sweet,Wheat flour,Nepal,A ceremonial wheat pudding prepared for pujas.
462,Makai ko Kheer,Sweet,Fresh Corn,Rural Nepal,An unusual rice pudding variant using fresh corn kernels.
463,Makhanaa Kheer,Sweet,Lotus seeds,Nepal,Pudding made from puffed lotus seeds (makhana).
464,Sabudaanaa Kheer,Sweet,Tapioca,Nepal,"Tapioca pearl pudding, a staple during fasting."
465,Sebai ko Kheer,Sweet,Vermicelli,Nepal,"Vermicelli noodles cooked in sweet, spiced milk."
466,Baalushahi,Sweet,Wheat flour,Nepal,"A glazed, flaky pastry with a soft interior."
467,Kaalo Jaamun,Sweet,Milk solids,Nepal,"A darker, more fried version of the Lal Mohan ball."
468,Malpua,Sweet,Flour & Fennel,Nepal,Small fritters seasoned with fennel and soaked in syrup.
469,Jilfi,Sweet,Flour,Nepal,Another name for the syrup-filled loops of Jeri.
470,Moong ko Laddu,Sweet,Mung Bean,Nepal,Sweet balls made from nutritious mung bean flour.
471,Nariwal ko Laddu,Sweet,Coconut,Nepal,Spheres made of sweet coconut and condensed milk.
472,Sooji ko Laddu,Sweet,Semolina,Nepal,Semolina balls with nuts and cardamom.
473,Masalaa ko Laddu,Sweet,Dried fruits,Nepal,High-nutrition balls made of nuts and various spices.
474,Momo (Steamed),Snack,Flour & Meat,Nepal,"The classic Nepali dumpling, steamed to perfection."
475,Momo (Fried),Snack,Flour & Meat,Nepal,Crispy deep-fried dumplings.
476,Jhol Momo,Snack,Flour & Meat,Nepal,"Dumplings served in a spicy, liquid broth of tomato and sesame."
477,Kothey Momo,Snack,Flour & Meat,Nepal,"Pan-fried momos with a smoky, charred finish on one side."
478,C-Momo,Snack,Flour & Meat,Nepal,"""Chili Momo"" - sautéed with onions, bell peppers, and hot sauce."
479,Chowmein,Snack,Noodles,Nepal,"Stir-fried noodles with meat, vegetables, and soy sauce."
480,Panipuri,Snack,Flour & Water,Nepal,"Hollow balls filled with potato, chickpeas, and tangy water."
481,Chatpatey,Snack,Puffed Rice,Nepal,"A mixture of puffed rice, instant noodles, onion, and chili."
482,Samosa,Snack,Wheat & Potato,Nepal,Spiced potato-filled triangular pastries.
483,Samosa Chat,Snack,Samosa & Peas,Nepal,"Smashed samosa topped with pea curry, yogurt, and chutney."
484,Alu Chop,Snack,Potato,Nepal,Deep-fried potato cutlets dipped in a gram flour batter.
485,Sekuwa (Chicken),Snack,Meat,Nepal,Grilled marinated chicken skewers cooked over wood fire.
486,Sekuwa (Buff),Snack,Meat,Nepal,"Grilled buffalo skewers, a Newari street favorite."
487,Sekuwa (Pork),Snack,Meat,Nepal,Spiced pork skewers roasted over coals.
488,Laphing,Snack,Mung Bean,Tibetan/Urban,"Cold, spicy bean noodles with chili oil and garlic."
489,Wai Wai Sadeko,Snack,Noodles,Nepal,"Salad of crushed instant noodles, onion, and lemon."
490,Jhilinga,Snack,Rice flour,Nepal,"Crunchy, colorful rice flour noodles shaped into a disc."
491,Doughnuts (Plain),Snack,Wheat flour,Nepal,"Simple deep-fried dough rings, a common breakfast item."
492,Pau Bhaji,Snack,Veg & Bread,Urban Nepal,Spiced vegetable mash served with buttered bread rolls.
493,Korean Corn Dog,Snack,Flour & Cheese,Urban Nepal,A modern street-food trend of fried cheese and sausage.
494,Bubble Tea,Beverage,Tea & Tapioca,Urban Nepal,A trendy drink with chewy tapioca pearls.
495,Lassi (Sweet),Beverage,Yogurt,Nepal,Sweetened yogurt drink topped with nuts and khuwa.
496,Lassi (Salted),Beverage,Yogurt,Nepal,Cooling yogurt drink with salt and cumin.
497,Roasted Corn,Snack,Corn,Rural/Urban,Fresh corn ears roasted over an open flame (poleko makai).
498,Pakora (Veg),Snack,Flour & Veg,Nepal,Sliced onions and vegetables fried in chickpea batter.
499,Pakora (Paneer),Snack,Cheese,Nepal,Cottage cheese fritters.
500,Sukuti,Snack,Dried Meat,Nepal,"Chewy, spiced dried meat served as a standalone snack."
