,Item Name,Category,Primary Ingredients,Origin/Context,Description
282,Sabudaanaa Kheer,Sweet,Tapioca,Nepal,"Tapioca pearl pudding, popular during religious fasts."
283,Sebai ko Kheer,Sweet,Vermicelli,Nepal,Sweet milk pudding with thin vermicelli noodles.
284,Machha Tarkari,Curry,River Fish,Majhi/Bhote,Freshwater fish curry cooked with mustard oil and turmeric.
285,Thenthuk,Soup,Pulled Noodles,Hyolmo,A slow-cooked bone broth with hand-pulled wheat noodles.
286,Tsampa Porridge,Staple,Barley,Himalayan,A warm breakfast porridge made from tsampa flour and milk.
287,Sherpa Bread,Bread,Wheat,Sherpa,Deep-fried or pan-cooked bread common on the EBC route.
288,Potato Roti,Bread,Potato,Sherpa,Flatbread made from mashed potatoes and wheat flour.
289,Salt Butter,Condiment,Yak Butter,Sherpa,"Fresh yak butter mixed with salt, used to garnish dhido and rice."
290,Hard Chhurpi,Snack,Cheese,Sherpa,"Smoked and dried cheese, used for tooth health and energy."
291,Soft Chhurpi,Vegetable,Cheese,Sherpa,Freshly made cheese used as a meat substitute in curries.
292,Syakpa Soup,Soup,Stew,Sherpa,The rich broth of the hand-pulled noodle and meat stew.
293,Jho (Jhopa),Staple,Hybrid Milk,Sherpa,Milk and curds from the yak-cow hybrid.
294,Tibetan Bread,Bread,Wheat,Himalayan,"Deep-fried, puffy bread often eaten with honey or jam."
295,Apple Crumble,Sweet,Apple,Jomsom,A baked dessert using local Mustang apples.
296,Yak Cheese,Snack,Cheese,Annapurna/Manaslu,"Aged, dense cheese made from yak milk, highly nutritious."
297,Chapati,Bread,Wheat,Himalayan,The flatbread served with lentils in teahouses across the trail.
298,Finger Millet Roti,Bread,Millet,Mustang,Traditional millet flatbread of the Mustang plateau.
299,Po Cha,Beverage,Tea,Himalayan,The iconic butter tea of the high mountains.
300,Ghonghi,Aquatic,Mud Snails,Tharu,"Snails boiled with linseed soup and local spices, eaten by sucking."
301,Dhikri,Staple,Rice Flour,Tharu,"Steamed rice flour rolls or dumplings, a staple of the Maghi festival."
302,Bagiya,Snack,Rice Flour,Tharu,"Steamed rice flour dumplings, often filled with sweet or savory mixtures."
303,Bhakkha,Bread,Rice Flour,Tharu/Rajbanshi,"A fluffy, steamed rice cake served with tomato chutney."
304,Sidhara,Condiment,Fish & Taro,Tharu,"Dried cakes made of small fish and taro root, used in curries."
305,Khariya,Snack,Colocasia leaves,Tharu,Steamed and fried rolls made of colocasia leaves and spice batter.
306,Pitosni,Snack,Colocasia leaves,Tharu,Another term for the Tharu colocasia leaf specialty.
307,Kachari Bariya,Vegetable,Yam,Tharu,A flavorful dish made from kachar (yam) and seasonal vegetables.
308,Pakuwa,Meat,Pork/Boar,Tharu,"Barbecued or roasted meat, typically pork or wild boar."
309,Anandi Rice,Staple,Sticky Rice,Tharu,"Steam-cooked glutinous rice, known for its unique texture."
310,Chichar,Staple,Sticky Rice,Tharu,Sticky rice steamed in a traditional manner.
311,Parewak Sikar,Meat,Pigeon,Tharu,Traditional Tharu preparation of roasted or curried pigeon meat.
312,Machha Curry,Curry,River Fish,Terai,"Freshwater fish cooked with turmeric, garlic, and mustard oil."
313,Litti,Snack,Wheat & Sattu,Terai,Roasted wheat balls stuffed with spiced gram flour and ghee.
314,Pitha,Sweet/Snack,Rice flour,Terai,"A wide category of rice-based sweets, steamed or fried."
315,Thekuwa,Sweet,Wheat & Jaggery,Mithila/Bhojpuri,A deep-fried sweet made for the Chhath festival.
316,Katiya,Curry,Mutton,Terai,Mutton slow-cooked in a sealed clay pot (katiya) over coal.
317,Pitthi,Snack,Wheat dough,Madhesi,Small dough dumplings cooked in a seasoned broth.
318,Dal Pitthi,Snack,Wheat & Lentils,Madhesi,Wheat dough pieces cooked inside a spiced lentil soup.
319,Chhachharuwa,Snack,Traditional,Madhesi,A traditional snack item of the southern plains.
320,Dal Puri,Bread,Flour & Lentils,Madhesi,Deep-fried bread filled with a spiced chickpea or lentil paste.
321,Khajuriya,Sweet,Wheat flour,Terai,Cookie-like festive sweet fried in oil.
322,Maluwa,Sweet,Flour & Milk,Terai,"A soft, pancake-like sweet soaked in sugar syrup."
323,Padukiya,Sweet,Wheat flour,Terai,"A fried, semi-circular sweet with a coconut or khuwa filling."
324,Puwa,Sweet,Rice flour,Terai,A sweet dish made from sautéed rice flour and nuts.
325,Dudh Puwa,Sweet,Milk & Rice,Terai,Puwa cooked in thick milk to create a rich dessert.
326,Sohjan Chokha,Vegetable,Drumstick,Terai,A mash or salad made from boiled drumstick (moringa) pods.
327,Maslaar,Curry,Spiced,Terai,A term for a highly spiced curry in the Madheshi tradition.
328,Jhinga Fry,Aquatic,Prawns/Shrimp,Terai,River prawns deep-fried with local spices.
329,Siddhri,Aquatic,Small Fish,Terai,"Dried small fish, often used in chutneys or curries."
330,Rice Roti,Bread,Rice flour,Terai,Traditional flatbread made exclusively from rice flour.
331,Chiura Dahi,Staple,Rice & Curd,Terai,A staple combination of beaten rice and fresh yogurt.
332,Bari,Snack,Lentil Nuggets,Terai,Sun-dried nuggets of seasoned lentil paste.
333,Kari,Curry,Yogurt,Terai,"A thick, tangy curry made with yogurt and gram flour."
334,Taruwa,Snack,Veg Fritters,Terai,Sliced vegetables dipped in gram flour batter and deep-fried.
335,Launglatti,Sweet,Wheat flour,Terai,"A fried, syrup-soaked sweet pinned with a clove (laung)."
336,Gajjaa,Sweet,Wheat flour,Terai,"A hard, layered sweet common in the Madhesi region."
337,Khuwa,Sweet,Milk solids,Nepal,"Milk reduced to a thick solid, used in many sweets."
338,Khaja Mithai,Sweet,Flour,Terai,General term for various snack-like sweets sold in the plains.
339,Methauri,Snack,Fenugreek,Terai,Sun-dried nuggets made with fenugreek seeds and lentils.
340,Tilauri,Snack,Sesame,Terai,"Small, crunchy fried snacks made from sesame seeds and batter."
341,Danauri,Snack,Grains,Terai,A traditional snack made from various grains.
342,Bathuwa Saag,Vegetable,Wild Spinach,Terai,A famous wild green consumed specifically during the winter.
343,Ol ke Tarkari,Curry,Elephant Foot Yam,Terai,A curry made from the large elephent foot yam tuber.
344,Pumpkin Leaf Taruwa,Snack,Pumpkin leaves,Terai,Pumpkin leaves dipped in batter and fried until crispy.
345,Satuwa,Staple,Grain flour,Terai,"Roasted grain flour, a high-protein staple for farmers."
346,Makai Bhuja,Snack,Popcorn,Terai,"Toasted corn kernels, a common daily snack."
347,Khurma,Sweet,Wheat flour,Terai,Fried wheat flour sticks coated in sugar syrup.
348,Fofi,Snack,Flour,Terai,"A hollow, tube-shaped fried snack."
349,Bangla Daal,Soup,Chickpeas,Terai,A yellow lentil soup made from split chickpeas.
350,Khesari Saag,Vegetable,Khesari,Terai,A leafy green vegetable common in the plains.
351,Teesi,Snack,Flaxseed,Terai,Flaxseeds used in various traditional snacks and condiments.
352,Gahu Oraha,Snack,Wheat,Terai,Roasted wheat grains.
353,Dhan Lawa,Snack,Paddy,Terai,"Puffed paddy or rice, often used in religious rituals."
354,Aluwa,Staple,Potato,Terai,A regional potato dish.
355,Shidol,Condiment,Fermented Fish,Rajbanshi,A pungent condiment made of fermented fish and arum leaves.
356,Pelka,Soup,Green leafy,Rajbanshi,A traditional soup made of mixed greens and alkali (chhaka).
357,Shuktani,Curry,Traditional,Rajbanshi,A bitter-tasting traditional vegetable preparation.
358,Chheka,Soup,Alkali,Rajbanshi,A unique soup prepared with alkaline water and local herbs.
359,Bhelka,Soup,Vegetable,Rajbanshi,A light vegetable broth of the Rajbanshi community.
360,Panta Bhat,Staple,Fermented Rice,Rajbanshi,"Leftover rice soaked overnight, eaten with salt and onion."
361,Sukati,Vegetable,Dried Jute,Rajbanshi,Dried jute leaves used in traditional curries.
362,Kalai Roti,Bread,Black Gram,Rajbanshi,A flatbread made from urad dal flour.
363,Borolir Jhaal,Curry,Fish,Rajbanshi,Spicy fish curry using the prized Boroli fish.
364,Nelekata Pitha,Sweet,Rice & Coconut,Rajbanshi,Half-moon shaped pitha filled with coconut and sugar.
365,Fokdoi,Staple,Rice,Rajbanshi,A traditional rice-based meal.
366,Pata Khaoa,Snack,Arum leaves,Rajbanshi,Arum leaves grilled or burnt with spices inside banana leaves.
367,Seli,Staple,Rice,Dhimal,A traditional rice preparation of the Dhimal community.
368,Lawa,Snack,Puffed paddy,Dhimal,Puffed paddy used as a snack.
369,Sidla,Condiment,Fish,Dhimal,A traditional fermented fish dish of the Dhimal people.
370,Gora,Beverage,Rice Beer,Dhimal,Traditional homemade rice liquor.
371,Taas,Meat,Buffalo/Lamb,Chitwan,"Spiced, slow-cooked meat served with puffed rice and pickles."
372,Katiya,Curry,Mutton,Terai,Mutton slow-cooked in individual clay pots.
373,Sahjan Chokha,Vegetable,Moringa,Terai,Mashed drumstick pods with spices and mustard oil.
374,Akabare Vinegar,Pickle,Round Chili,Eastern Nepal,Dalle chilies preserved in vinegar and spices.
375,Kinema,Fermented,Soybeans,Rai/Limbu,"Soybeans fermented until pungent, then dried and stored for curries."
376,Kinema ko Jhol,Soup,Fermented Soy,Rai/Limbu,"A nutritious, high-protein soup made from reconstituted kinema."
377,Yangben-Faaksa,Curry,Pork & Lichen,Rai/Limbu,Pork curry cooked with wild edible lichen (yangben) and blood.
378,Wachipa,Staple,Chicken & Ash,Rai/Limbu,Rice mixed with chicken and ashes of burnt feathers; bitter and aromatic.
379,Sargemba,Meat,Blood Sausage,Rai/Limbu,"Pig blood, rice, and lichen encased in intestines and boiled."
380,Chhop Achar,Pickle,Niger Seeds,Rai/Limbu,"A dry, shelf-stable pickle made from ground niger seeds and salt."
381,Chamre,Staple,Rice,Rai/Limbu,"Rice fried with ghee and turmeric to produce a yellow, aromatic dish."
382,Masikra,Meat,Smoked Meat,Limbu,"Smoked or dried meat, often pork, used in seasonal stews."
383,Tongba,Beverage,Millet,Limbu,"Fermented millet brew, sipped through a bamboo straw."
384,Raksi,Beverage,Grain,Nepal,"Distilled grain liquor, the ""hard"" counterpart to fermented brews."
385,Masikdaam,Staple,Grains,Rai/Limbu,A traditional cereal-based dish of eastern Nepal.
386,Sibring,Vegetable,Wild Herb,Rai/Limbu,An indigenous wild plant used as a vegetable or condiment.
387,Bawari,Bread,Rice flour,Rai/Limbu,A traditional rice flour pancake.
388,Dhule Achar,Pickle,Sesame & Ginger,Rai/Limbu,"A ground pickle of sesame seeds, ginger, salt, and chili."
389,Saruwa,Beverage,Traditional,Rai/Limbu,A specific traditional drink of the Lohorung community.
390,Yangben,Condiment,Lichen,Rai/Limbu,Wild lichen processed with ashes and washed thoroughly for use.
391,Sungur ko Masu,Meat,Pork,Rai/Limbu,"Local domestic pork, the preferred meat of eastern hills."
392,Philinge Achar,Pickle,Niger Seed,Rai/Limbu,"A spicy, nutty pickle made from niger seeds (philinge)."
393,Kodo ko Raksi,Beverage,Millet,Nepal,Strong spirit distilled from fermented finger millet.
394,Sel Roti,Sweet,Rice flour,Nepal,Ring-shaped festive bread made of fermented rice batter.
395,Gundruk ko Achar,Pickle,Fermented greens,Nepal,Spiced salad made from fermented leafy greens.
396,Dhido,Staple,Millet/Buckwheat,Rai/Limbu,Dense flour porridge served with meat curry.
397,Machha ko Sukuti,Snack,Dried Fish,Rai/Limbu,"Small fish dried until crunchy, then fried with spices."
398,Ghee,Staple,Buffalo Butter,Nepal,Clarified butter used as a caloric boost in every meal.
399,Chhurpi,Snack,Yak/Cow Milk,Eastern Nepal,Dried cheese bits used as a snack or in soup.
400,Phopke,Sweet,Fermented Rice,Thakali/Eastern,A unique sweet fermented rice specialty.
401,Chirik Michcha,Pickle,Fermented Chili,Yakkha,"Bold, pungent fermented green chili dish of eastern Nepal."
402,Ban Tarul,Vegetable,Wild Yam,Chepang/Rural,Foraged yam roasted or boiled as a forest survival food.
403,Machha Tarkari,Curry,River Fish,Majhi/Bhote,Spiced fish curry from river-based communities.
404,Thenthuk,Soup,Wheat Noodles,Hyolmo,Square hand-pulled noodles in a slow-cooked bone broth.
405,Paach Pokhari Jhol,Soup,Meat Broth,Gurung,A warming meat broth made with wild herbs and garlic.
406,Tsampa,Staple,Barley,Sherpa,Roasted barley flour mixed with butter tea.
407,Aila,Beverage,Rice/Millet,Newari,Potent distilled spirit with over 60% alcohol content.
408,Chhyang,Beverage,Rice/Barley,Tibetan,"Milky white fermented beer, sweet and sour."
409,Juju Dhau,Sweet,Buffalo Milk,Bhaktapur,"""King of Yogurt,"" thick and creamy fermented milk."
410,Yomari,Sweet,Rice flour,Newari,Steamed harvest dumplings filled with chaku or khuwa.
411,Lakhamari,Sweet,Wheat flour,Newari,"Hard, crunchy bread-like treat for special occasions."
412,Chaku,Sweet,Molasses,Newari,"Sticky, energy-dense molasses rich in iron."
413,Jeri,Sweet,Wheat flour,Nepal,Deep-fried spirals soaked in sugar syrup.
414,Gud Pak,Sweet,Milk & Jaggery,Kathmandu,Nutritious sweet gifted to new mothers for strength.
415,Kheer,Sweet,Rice & Milk,Nepal,Traditional creamy rice pudding.
416,Suji Ko Halwa,Sweet,Semolina,Nepal,Buttery semolina pudding flavored with cardamom.
417,Rakshi,Beverage,Grain,Nepal,"Traditional distilled wine, clear and strong."
418,Taadi,Beverage,Palm Sap,Terai,Alcoholic palm wine made from the sap of palm trees.
419,Tin Pani,Beverage,Grain,Rural Nepal,"""Three water"" - highly distilled, clear raksi."
420,Jaad,Beverage,Grain,Nepal,Generic term for fermented grain beer.
421,Nigar,Beverage,Grain,Eastern Nepal,The clear liquid extract from fermented beer.
422,Thwon,Beverage,Rice,Newari,Newari name for fermented rice beer.
423,Mada,Beverage,Grain,Rukum,Distilled spirit found in the hilly regions of Rukum.
424,Saejongwa,Beverage,Grain,Limbu,Limbu name for distilled alcohol (raksi).
425,Sel Roti,Sweet/Snack,Rice flour,Nepal,"Ring-shaped rice donut, crispy outside and soft inside."
426,Yomari,Sweet,Rice flour,Newari,Fish or teardrop shaped dumpling filled with sesame and molasses.
427,Lakhamari,Sweet,Wheat flour,Newari,"A hard, crunchy decorative sweet for weddings."
428,Kheer,Sweet,Rice & Milk,Nepal,"Traditional rice pudding, often garnished with nuts and saffron."
429,Rasbari,Sweet,Milk solids,Nepal,Spongy milk balls dipped in a light sugar syrup.
430,Lal Mohan,Sweet,Milk solids,Nepal,Deep-fried dough balls in a cardamom-infused syrup.
431,Gulab Jamun,Sweet,Milk solids,Nepal,The regional name for the deep-fried syrup-soaked milk balls.
432,Jeri,Sweet,Wheat flour,Nepal,Pretzels made of fried batter and soaked in syrup.
433,Jalebi,Sweet,Wheat flour,Nepal,"Another name for Jeri, often paired with swari flatbread."
434,Rasgulla,Sweet,Cottage Cheese,Nepal,Spongy balls of chhena (cheese) in sugar syrup.
435,Rasmalai,Sweet,Cheese & Milk,Nepal,"Soft cheese patties soaked in thickened, sweetened milk."
436,Barfi,Sweet,Condensed Milk,Nepal,"Dense, fudge-like sweet available in many flavors (Khuwa, Kaaju)."
437,Peda,Sweet,Reduced Milk,Nepal,"Flat, circular sweets made from thickened milk and nuts."
438,Laddu,Sweet,Flour & Sugar,Nepal,Spherical sweets made from gram flour (Besan) or semolina.
439,Motichur Laddu,Sweet,Chickpea flour,Nepal,Granular sweets made from tiny fried droplets of batter.
440,Til ko Laddu,Sweet,Sesame seeds,Nepal,Crunchy sesame balls bound with jaggery syrup.
441,Gud Pak,Sweet,Jaggery & Nuts,Kathmandu,"A nutritious, thick sweet made from edible gum and nuts."
442,Pustakari,Sweet,Milk & Sugar,Newari,"Chewy, nutty candy made from reduced milk and jaggery."
443,Chaku,Sweet,Sugarcane juice,Newari,"Dark, concentrated molasses blocks used as a winter tonic."
444,Anarsa,Sweet,Rice flour,Nepal,A crispy rice flour patty topped with poppy seeds.
445,Khajuri,Sweet,Wheat & Ghee,Nepal,Traditional deep-fried cookies with a firm texture.
446,Haluwa,Sweet,Semolina,Nepal,"A warm, buttery pudding made from semolina or wheat flour."
447,Gajar ko Halwa,Sweet,Carrots,Nepal,Grated carrots cooked in milk and ghee until thick and sweet.
448,Suji ko Halwa,Sweet,Semolina,Nepal,The most common homemade dessert in Nepali households.
449,Kalakand,Sweet,Milk & Paneer,Nepal,"A grainy, milk-based sweet flavored with cardamom."
450,Kulfi,Sweet,Thickened Milk,Nepal,"Traditional frozen milk popsicle, often with pistachios."
451,Bambaisan,Sweet,Milk,Ilam,A regional specialty from Ilam made from condensed milk.
452,Khuwa ko Barfi,Sweet,Reduced milk,Nepal,"Pure milk fudge, a favorite for its creamy richness."
453,Kaaju Barfi,Sweet,Cashews,Nepal,Diamond-shaped fudge made from ground cashews.
454,Badaam Barfi,Sweet,Almonds,Nepal,Milk fudge enriched with almonds.
455,Pista Barfi,Sweet,Pistachios,Nepal,Vibrant green fudge flavored with pistachios.
456,Nariwal Barfi,Sweet,Coconut,Nepal,Sweet squares made from grated coconut and milk.
457,Besan ko Barfi,Sweet,Gram flour,Nepal,Fudge made from roasted chickpea flour and ghee.
458,Chocolate Barfi,Sweet,Milk & Cocoa,Nepal,A modern fusion of traditional milk fudge and chocolate.
459,Kesari ko Barfi,Sweet,Saffron,Nepal,Saffron-infused milk fudge.
460,Mana Bhog,Sweet,Wheat flour,Nepal,A ceremonial wheat pudding prepared for pujas.
461,Makai ko Kheer,Sweet,Fresh Corn,Rural Nepal,An unusual rice pudding variant using fresh corn kernels.
462,Makhanaa Kheer,Sweet,Lotus seeds,Nepal,Pudding made from puffed lotus seeds (makhana).
463,Sabudaanaa Kheer,Sweet,Tapioca,Nepal,"Tapioca pearl pudding, a staple during fasting."
464,Sebai ko Kheer,Sweet,Vermicelli,Nepal,"Vermicelli noodles cooked in sweet, spiced milk."
465,Baalushahi,Sweet,Wheat flour,Nepal,"A glazed, flaky pastry with a soft interior."
466,Kaalo Jaamun,Sweet,Milk solids,Nepal,"A darker, more fried version of the Lal Mohan ball."
467,Malpua,Sweet,Flour & Fennel,Nepal,Small fritters seasoned with fennel and soaked in syrup.
468,Jilfi,Sweet,Flour,Nepal,Another name for the syrup-filled loops of Jeri.
469,Moong ko Laddu,Sweet,Mung Bean,Nepal,Sweet balls made from nutritious mung bean flour.
470,Nariwal ko Laddu,Sweet,Coconut,Nepal,Spheres made of sweet coconut and condensed milk.
471,Sooji ko Laddu,Sweet,Semolina,Nepal,Semolina balls with nuts and cardamom.
472,Masalaa ko Laddu,Sweet,Dried fruits,Nepal,High-nutrition balls made of nuts and various spices.
473,Momo (Steamed),Snack,Flour & Meat,Nepal,"The classic Nepali dumpling, steamed to perfection."
474,Momo (Fried),Snack,Flour & Meat,Nepal,Crispy deep-fried dumplings.
475,Jhol Momo,Snack,Flour & Meat,Nepal,"Dumplings served in a spicy, liquid broth of tomato and sesame."
476,Kothey Momo,Snack,Flour & Meat,Nepal,"Pan-fried momos with a smoky, charred finish on one side."
477,C-Momo,Snack,Flour & Meat,Nepal,"""Chili Momo"" - sautéed with onions, bell peppers, and hot sauce."
478,Chowmein,Snack,Noodles,Nepal,"Stir-fried noodles with meat, vegetables, and soy sauce."
479,Panipuri,Snack,Flour & Water,Nepal,"Hollow balls filled with potato, chickpeas, and tangy water."
480,Chatpatey,Snack,Puffed Rice,Nepal,"A mixture of puffed rice, instant noodles, onion, and chili."
481,Samosa,Snack,Wheat & Potato,Nepal,Spiced potato-filled triangular pastries.
482,Samosa Chat,Snack,Samosa & Peas,Nepal,"Smashed samosa topped with pea curry, yogurt, and chutney."
483,Alu Chop,Snack,Potato,Nepal,Deep-fried potato cutlets dipped in a gram flour batter.
484,Sekuwa (Chicken),Snack,Meat,Nepal,Grilled marinated chicken skewers cooked over wood fire.
485,Sekuwa (Buff),Snack,Meat,Nepal,"Grilled buffalo skewers, a Newari street favorite."
486,Sekuwa (Pork),Snack,Meat,Nepal,Spiced pork skewers roasted over coals.
487,Laphing,Snack,Mung Bean,Tibetan/Urban,"Cold, spicy bean noodles with chili oil and garlic."
488,Wai Wai Sadeko,Snack,Noodles,Nepal,"Salad of crushed instant noodles, onion, and lemon."
489,Jhilinga,Snack,Rice flour,Nepal,"Crunchy, colorful rice flour noodles shaped into a disc."
490,Doughnuts (Plain),Snack,Wheat flour,Nepal,"Simple deep-fried dough rings, a common breakfast item."
491,Pau Bhaji,Snack,Veg & Bread,Urban Nepal,Spiced vegetable mash served with buttered bread rolls.
492,Korean Corn Dog,Snack,Flour & Cheese,Urban Nepal,A modern street-food trend of fried cheese and sausage.
493,Bubble Tea,Beverage,Tea & Tapioca,Urban Nepal,A trendy drink with chewy tapioca pearls.
494,Lassi (Sweet),Beverage,Yogurt,Nepal,Sweetened yogurt drink topped with nuts and khuwa.
495,Lassi (Salted),Beverage,Yogurt,Nepal,Cooling yogurt drink with salt and cumin.
496,Roasted Corn,Snack,Corn,Rural/Urban,Fresh corn ears roasted over an open flame (poleko makai).
497,Pakora (Veg),Snack,Flour & Veg,Nepal,Sliced onions and vegetables fried in chickpea batter.
498,Pakora (Paneer),Snack,Cheese,Nepal,Cottage cheese fritters.
499,Sukuti,Snack,Dried Meat,Nepal,"Chewy, spiced dried meat served as a standalone snack."
